f1000-1-1-0,carlos morel
f1000-6-1795-0,aaron r. quinlan
f1000-6-1795-1,andrew carroll
f1000-6-1795-2,mitchell a. bekritsky 
f1000-6-1798-0,robert robinson 
f1000-6-1798-1,nan liu
f1000-6-1801-0,guru dutta satyarthee
f1000-6-1801-1,luis rafael moscote-salazar 
f1000-6-1801-2,yi guo
f1000-6-1801-3,arif hussian sarmast 
f1000-6-1802-0,sultan alnohair
f1000-6-1802-1,nicholas chadi 
f1000-6-1804-0,jos a martrguez 
f1000-6-1804-1,alexandre a. mironov 
f1000-6-1804-2,gareth griffiths
f1000-6-1804-3,gareth griffiths
f1000-6-1804-4,charles grose
f1000-6-1805-0,samus fanning 
f1000-6-1805-1,wolfgang witte
f1000-6-1808-0,adrian g. barnett 
f1000-6-1808-1,adrian g. barnett 
f1000-6-1808-2,yaso kunaratnam
f1000-6-1809-0,innocent nhapi
f1000-6-1809-1,jamidu h.y. katima
f1000-6-181-0,rita singh
f1000-6-181-1,franois j. richard
f1000-6-181-2,rawad hodeify
f1000-6-1817-0,james m. trauer 
f1000-6-1817-1,m. gabriela m. gomes 
f1000-6-1819-0,mathuros tipayamongkholgul
f1000-6-1819-1,edson zangiacomi martinez 
f1000-6-1819-2,edson zangiacomi martinez 
f1000-6-1819-3,mathuros tipayamongkholgul
f1000-6-182-0,rusli bin nordin 
f1000-6-182-1,md mizanur rahman
f1000-6-1824-0,sandra orchard 
f1000-6-1824-1,augustin luna 
f1000-6-1824-2,sandra orchard 
f1000-6-1826-0,daniel gould
f1000-6-1826-1,dale grotelueschen
f1000-6-1827-0,m dnes
f1000-6-1827-1,stuart m. allan 
f1000-6-1831-0,david z. munisi 
f1000-6-1831-1,youssef aboussaleh
f1000-6-1832-0,stephen a. hill
f1000-6-1832-1,julie shaw
f1000-6-1832-2,jennifer shea
f1000-6-1833-0,ifedayo adetifa 
f1000-6-1833-1,eddy bresnitz
f1000-6-1833-2,rosemary j. burnett 
f1000-6-1834-0,dimitri kalenitchenko
f1000-6-1834-1,dimitri kalenitchenko
f1000-6-1834-2,dimitri kalenitchenko
f1000-6-1834-3,maxim rubin blum 
f1000-6-1835-0,sharad saurabh
f1000-6-1835-1,renate krause sakate 
f1000-6-1836-0,abha shrestha 
f1000-6-1836-1,matthew j. kelly
f1000-6-1836-2,limin wang
f1000-6-1842-0,george djaiani
f1000-6-1842-1,michael simon avidan 
f1000-6-1842-2,yahya shyehabi
f1000-6-1842-3,nicolai goettel 
f1000-6-1842-4,michael simon avidan 
f1000-6-1842-5,nicolai goettel 
f1000-6-1843-0,ramil mauleon 
f1000-6-1843-1,peter mcquilton 
f1000-6-1843-2,ramil mauleon 
f1000-6-1845-0,yu xia
f1000-6-1845-1,mario dos reis 
f1000-6-1845-2,david d pollock
f1000-6-1845-3,yu xia
f1000-6-1845-4,ugo bastolla
f1000-6-1850-0,michael p busch 
f1000-6-1850-1,sunil k joshi 
f1000-6-1855-0,agung damar syakti
f1000-6-1855-1,suparno pranoto
f1000-6-1855-2,javad ghasemzadeh 
f1000-6-1863-0,john m. kean 
f1000-6-1863-1,john m. kean 
f1000-6-1863-2,daniel m. borchert
f1000-6-1863-3,teresa vera 
f1000-6-1873-0,samantha flores-trevio 
f1000-6-1873-1,bernt lindtjrn 
f1000-6-1873-2,erica lessem
f1000-6-1873-3,bernt lindtjrn 
f1000-6-1875-0,kathryn torok
f1000-6-1875-1,mark m wurfel
f1000-6-1888-0,andreas r. pfenning
f1000-6-1888-1,nria queralt-rosinach 
f1000-6-1889-0,leonard weinstock
f1000-6-1889-1,bastian walz
f1000-6-1896-0,ioannis prassas 
f1000-6-1896-1,james e haddow
f1000-6-1898-0,frances meier-gibbons 
f1000-6-1898-1,frances meier-gibbons 
f1000-6-1898-2,ding lin
f1000-6-19-0,kaustubh adhikari
f1000-6-1919-0,hugo akabane
f1000-6-1919-1,evandro dantas bezerra 
f1000-6-192-0,nathaniel szewczyk 
f1000-6-192-1,nathaniel szewczyk 
f1000-6-192-2,courtney scerbak 
f1000-6-192-3,nathaniel szewczyk 
f1000-6-192-4,elena m. vayndorf
f1000-6-1929-0,sergio casciaro
f1000-6-1929-1,laura a. dawson
f1000-6-1932-0,christian lengeler
f1000-6-1932-1,michel cot 
f1000-6-1932-2,immo kleinschmidt
f1000-6-1933-0,martyn plummer
f1000-6-1933-1,nikolaus umlauf 
f1000-6-1933-2,noora kanerva
f1000-6-1935-0,yong-keun lee
f1000-6-1935-1,livia ottolenghi
f1000-6-1937-0,emilio ferrara
f1000-6-1937-1,rbert g. vida
f1000-6-1937-2,marvin d. shepherd
f1000-6-194-0,rodrigo nogueira angerami
f1000-6-194-1,luis cuauhtmoc haro-garca 
f1000-6-194-2,luis cuauhtmoc haro-garca 
f1000-6-194-3,kateryna kon
f1000-6-1940-0,jannine d. cody 
f1000-6-1940-1,gyrgy kosztolnyi
f1000-6-1940-2,jannine d. cody 
f1000-6-1940-3,gyrgy kosztolnyi
f1000-6-1950-0,muhammad aslam ali
f1000-6-1950-1,muhammad aslam ali
f1000-6-1950-2,ankit singla
f1000-6-1953-0,harry hx wang
f1000-6-1953-1,luis m. ruilope
f1000-6-1957-0,nikolay peev
f1000-6-1957-1,juha hernesniemi
f1000-6-1958-0,johannes m. dijkstra 
f1000-6-1958-1,aleksei krasnov
f1000-6-1958-2,uwe fischer
f1000-6-1958-3,johannes m. dijkstra 
f1000-6-1958-4,aleksei krasnov
f1000-6-1960-0,c.k. gunsalus 
f1000-6-1960-1,lex m. bouter 
f1000-6-1964-0,shweta gera 
f1000-6-1964-1,ahmed abu-zaid 
f1000-6-1964-2,shweta gera 
f1000-6-1964-3,ahmed abu-zaid 
f1000-6-1968-0,espen rimstad 
f1000-6-1968-1,niels c. bols
f1000-6-1968-2,espen rimstad 
f1000-6-1969-0,helen v. cook 
f1000-6-1969-1,helen v. cook 
f1000-6-1969-2,cathy h. wu
f1000-6-1969-3,cathy h. wu
f1000-6-197-0,kate l. hertweck 
f1000-6-197-1,jiarong guo
f1000-6-197-2,jiarong guo
f1000-6-197-3,kate l. hertweck 
f1000-6-1971-0,tom j. b. de man
f1000-6-1971-1,torsten seemann 
f1000-6-1972-0,david j. studholme 
f1000-6-1972-1,david j. studholme 
f1000-6-1972-2,erik andreasson
f1000-6-1972-3,nicols daniel ayub 
f1000-6-1974-0,wilfredo a. gonzlez-arriagada
f1000-6-1974-1,emine tamer 
f1000-6-1976-0,davide risso 
f1000-6-1976-1,charlotte soneson 
f1000-6-1976-2,davide risso 
f1000-6-1976-3,charlotte soneson 
f1000-6-1977-0,tlay zkan seyhan
f1000-6-1977-1,antti j. vaananen 
f1000-6-1978-0,muhammad shahzeb khan
f1000-6-1978-1,syeda fariha iram rizvi
f1000-6-1978-2,syeda fariha iram rizvi
f1000-6-1978-3,usman ali 
f1000-6-1980-0,bela suki
f1000-6-1980-1,george w. bassel 
f1000-6-1984-0,asus maizar suryanto hertika 
f1000-6-1984-1,delianis pringgenies
f1000-6-1984-2,medana zamfir
f1000-6-1991-0,ciemon frank caballes 
f1000-6-1991-1,peter w. glynn
f1000-6-1995-0,stephen senn 
f1000-6-1995-1,bob siegerink 
f1000-6-1996-0,colin f. royse 
f1000-6-1996-1,jan hendrik eshuis
f1000-6-1997-0,moritz a. kretzschmar 
f1000-6-1997-1,katarina hallen
f1000-6-1997-2,sirirat tribuddharat 
f1000-6-1997-3,moritz a. kretzschmar 
f1000-6-1997-4,sirirat tribuddharat 
f1000-6-1997-5,katarina hallen
f1000-6-1998-0,jens j christensen
f1000-6-1998-1,magnus rasmussen
f1000-6-1998-2,jens j christensen
f1000-6-1998-3,jens j christensen
f1000-6-1998-4,magnus rasmussen
f1000-6-20-0,jennifer a. ufnar
f1000-6-20-1,jennifer a. ufnar
f1000-6-20-2,byron c. jones
f1000-6-20-3,christine f. hohmann
f1000-6-2010-0,pekka kohonen
f1000-6-2010-1,weijun luo 
f1000-6-2010-2,jenny drnevich 
f1000-6-2010-3,robert castelo 
f1000-6-2012-0,konrad frstner 
f1000-6-2012-1,konrad frstner 
f1000-6-2012-2,alex bateman 
f1000-6-2015-0,raghavan varadarajan
f1000-6-2015-1,qibo zhang
f1000-6-2020-0,lorraine cowley 
f1000-6-2020-1,michael arribas-ayllon
f1000-6-2020-2,tina-marie wessels 
f1000-6-2020-3,michael arribas-ayllon
f1000-6-2020-4,lorraine cowley 
f1000-6-2020-5,anna michell 
f1000-6-2028-0,teresa a. coutinho
f1000-6-2028-1,dhurva p. gauchan 
f1000-6-2028-2,teresa a. coutinho
f1000-6-2032-0,ali yadollahpour 
f1000-6-2032-1,nelson elias
f1000-6-2034-0,guido vogel
f1000-6-2034-1,ines schreiver
f1000-6-2034-2,christoph hutzler 
f1000-6-2034-3,guido vogel
f1000-6-2036-0,evelyn b. voura
f1000-6-2036-1,ann hallemans
f1000-6-2045-0,aniruddha roy 
f1000-6-2045-1,nadejda beliakova-bethell
f1000-6-2046-0,elana judith fertig
f1000-6-2046-1,simina m. boca 
f1000-6-2046-2,levi waldron 
f1000-6-2051-0,judith a. blake 
f1000-6-2051-1,eva huala
f1000-6-2051-2,helen berman
f1000-6-2055-0,peter f. hickey 
f1000-6-2055-1,james w. macdonald 
f1000-6-2055-2,simon andrews
f1000-6-2060-0,chunlei wu 
f1000-6-2060-1,kang ning 
f1000-6-2060-2,olivier collin 
f1000-6-2062-0,sunil kumar chauhan
f1000-6-2062-1,nina stockfleth buch 
f1000-6-2062-2,sunil kumar chauhan
f1000-6-2062-3,nina stockfleth buch 
f1000-6-2066-0,aziz rahman 
f1000-6-2066-1,kazi selim anwar 
f1000-6-2067-0,igor s. lukashevich 
f1000-6-2067-1,richard a. bowen
f1000-6-2068-0,fabio monzani 
f1000-6-2073-0,carlos aguilar-salinas 
f1000-6-2073-1,carlos aguilar-salinas 
f1000-6-2073-2,david j. galton
f1000-6-2074-0,brian o'connor 
f1000-6-2074-1,manuel corpas 
f1000-6-2074-2,christopher j. fields 
f1000-6-2074-3,michael l. heuer 
f1000-6-2075-0,olga scrivner
f1000-6-2075-1,manuel jesus cobo 
f1000-6-2079-0,theodore g. liou 
f1000-6-2079-1,freddy frost 
f1000-6-2079-2,tim lee 
f1000-6-2079-3,theodore g. liou 
f1000-6-2079-4,freddy frost 
f1000-6-2079-5,tim lee 
f1000-6-208-0,samiran nundy 
f1000-6-208-1,eleftherios p diamandis 
f1000-6-2082-0,xing-feng huang 
f1000-6-2082-1,swapna priya rajarapu 
f1000-6-2086-0,dominick shattuck
f1000-6-2086-1,ryan p. smith
f1000-6-2087-0,carlos jara 
f1000-6-2087-1,angeles juarranz
f1000-6-209-0,vickie curtis 
f1000-6-2097-0,terence y. pang 
f1000-6-2097-1,terence y. pang 
f1000-6-2097-2,jaroslav flegr 
f1000-6-21-0,massimo ciccozzi
f1000-6-21-1,easwaran sreekumar
f1000-6-210-0,nowrozy kamar jahan 
f1000-6-210-1,gonghuan yang
f1000-6-2103-0,mohammad siddiqur rahman khan 
f1000-6-2103-1,md. abu sayeed 
f1000-6-2113-0,b. lachele foley
f1000-6-2113-1,marcello sega 
f1000-6-2119-0,justice nonvignon
f1000-6-2119-1,kanchan mukherjee
f1000-6-2120-0,ester feldmesser 
f1000-6-2120-1,aurlien naldi 
f1000-6-2120-2,giovanni scardoni
f1000-6-2120-3,aurlien naldi 
f1000-6-2122-0,stephen senn 
f1000-6-2122-1,juan carro ramos 
f1000-6-2122-2,patrizio tressoldi 
f1000-6-2129-0,catherine alix-panabires
f1000-6-2129-1,nicholas j. wald 
f1000-6-2145-0,stephen a. gallo 
f1000-6-2145-1,stephen a. gallo 
f1000-6-2145-2,ins snchez de madariaga
f1000-6-2150-0,davide martino
f1000-6-2150-1,cara w.j verdellen
f1000-6-2150-2,christine a. conelea
f1000-6-2150-3,cara w.j verdellen
f1000-6-2150-4,davide martino
f1000-6-2150-5,christine a. conelea
f1000-6-2155-0,joann e manson
f1000-6-2155-1,nanette santoro
f1000-6-2162-0,ben busby 
f1000-6-2162-1,anup mahurkar 
f1000-6-2162-2,ben busby 
f1000-6-2162-3,anup mahurkar 
f1000-6-2163-0,sulman basit 
f1000-6-2163-1,shahid mahmood baig
f1000-6-2164-0,qingliang (leon) li 
f1000-6-2164-1,pauliina damdimopoulou 
f1000-6-2166-0,elizabeth garrett-mayer
f1000-6-2166-1,elizabeth garrett-mayer
f1000-6-2166-2,joshua d hall
f1000-6-2167-0,luc lr int panis 
f1000-6-2167-1,monique matsuda 
f1000-6-2167-2,monique matsuda 
f1000-6-2167-3,luc lr int panis 
f1000-6-2169-0,allison b. ellawadi
f1000-6-2169-1,laura serra
f1000-6-2172-0,bjoern menze
f1000-6-2172-1,roger tam
f1000-6-2172-2,bruno bonetti
f1000-6-2173-0,dick roelofs 
f1000-6-2173-1,sh v. oliver 
f1000-6-2173-2,sh v. oliver 
f1000-6-2173-3,david essumang
f1000-6-2178-0,rajkumar doshi 
f1000-6-2178-1,rajkumar doshi 
f1000-6-2178-2,bernhard meier
f1000-6-2182-0,vicki ratner 
f1000-6-2182-1,leonard weinstock
f1000-6-2182-2,michael huber 
f1000-6-2185-0,christian j.a. sigrist
f1000-6-2185-1,alex bateman 
f1000-6-2185-2,elspeth a. bruford 
f1000-6-2185-3,christian j.a. sigrist
f1000-6-2185-4,alex bateman 
f1000-6-2188-0,bernard prendergast
f1000-6-220-0,bhaskar k somani 
f1000-6-220-1,david s goldfarb 
f1000-6-221-0,eugene a. kiyatkin
f1000-6-221-1,eugene a. kiyatkin
f1000-6-221-2,juha oksa 
f1000-6-222-0,jiasheng hao
f1000-6-222-1,john a. shuey
f1000-6-223-0,wongsa laohasiriwong 
f1000-6-223-1,danielle gallegos
f1000-6-223-2,wongsa laohasiriwong 
f1000-6-223-3,quan-hoang vuong
f1000-6-227-0,david a. eccles 
f1000-6-227-1,david a. eccles 
f1000-6-227-2,david a. eccles 
f1000-6-227-3,matthew william loose
f1000-6-229-0,kearney t. w. gunsalus 
f1000-6-229-1,jessica k. polka 
f1000-6-229-2,jessica k. polka 
f1000-6-229-3,kearney t. w. gunsalus 
f1000-6-229-4,jessica k. polka 
f1000-6-23-0,didier picard
f1000-6-23-1,gregory j. crowther
f1000-6-230-0,hctor r. martnez
f1000-6-230-1,nitin saksena
f1000-6-230-2,walter g. bradley
f1000-6-231-0,lilian dudley
f1000-6-231-1,clara richards
f1000-6-243-0,pascal brouillard 
f1000-6-243-1,fengkai zhang
f1000-6-243-2,fengkai zhang
f1000-6-243-3,pascal brouillard 
f1000-6-245-0, kamron n. khan 
f1000-6-245-1,igor kozak
f1000-6-25-0,umesh wadgave 
f1000-6-25-1,sunil m. sagare
f1000-6-253-0,kogieleum naidoo
f1000-6-253-1,simon walusimbi
f1000-6-254-0,jernimo carns 
f1000-6-254-1,christopher p mattison 
f1000-6-254-2,r hal scofield 
f1000-6-254-3,christopher p mattison 
f1000-6-255-0,lutz jncke 
f1000-6-255-1,lutz jncke 
f1000-6-255-2,veronica van heyningen
f1000-6-256-0,eric jonasch
f1000-6-256-1,marie louise mlgaard binderup
f1000-6-258-0,murugaiyan kalaiselvam 
f1000-6-258-1,mudjekeewis d. santos
f1000-6-258-2,salman abdo al-shami 
f1000-6-262-0,didier raoult
f1000-6-262-1,carlo presutti 
f1000-6-265-0,kenji gonda 
f1000-6-265-1,ramesh omranipour
f1000-6-265-2,sergi vidal-sicart
f1000-6-266-0,orathai piboonpocanun
f1000-6-266-1,bee wah lee
f1000-6-266-2,wiparat manuyakorn 
f1000-6-267-0,guru dutta satyarthee
f1000-6-267-1,ravi dadlani
f1000-6-27-0,antony young
f1000-6-27-1,robert j. noble 
f1000-6-27-2,robert j. noble 
f1000-6-27-3,antony young
f1000-6-273-0,victor maojo
f1000-6-273-1,joo p. g. l. m. rodrigues 
f1000-6-278-0,michael g. b. blum 
f1000-6-278-1,zoltn kutalik
f1000-6-283-0,jian-guo chen 
f1000-6-283-1,ping zheng
f1000-6-283-2,hongxin dong
f1000-6-283-3,hongxin dong
f1000-6-283-4,jian-guo chen 
f1000-6-283-5,ping zheng
f1000-6-284-0,guntra a. aistara
f1000-6-284-1,sue farran
f1000-6-284-2,william f. tracy
f1000-6-284-3,sheryl d. breen 
f1000-6-286-0,elke albrecht 
f1000-6-286-1,fabian sanchis-gomar
f1000-6-286-2,elke albrecht 
f1000-6-288-0,anna herman-antosiewicz
f1000-6-288-1,phei er saw 
f1000-6-288-2,alexey tryakin
f1000-6-289-0,freya vander laenen
f1000-6-289-1,richard l. bell
f1000-6-29-0,lusine nazaryan-petersen
f1000-6-29-1,david a. goukassian
f1000-6-296-0,benjamin haibe-kains
f1000-6-296-1,christos hatzis 
f1000-6-296-2,christos hatzis 
f1000-6-296-3,benjamin haibe-kains
f1000-6-30-0,patrcia figueiredo 
f1000-6-30-1,david m. groppe
f1000-6-30-2,david m. groppe
f1000-6-30-3,patrcia figueiredo 
f1000-6-309-0,charles auffray 
f1000-6-309-1,jacques s. beckmann 
f1000-6-309-2,rob hooft van huijsduijnen 
f1000-6-309-3,michel goldman 
f1000-6-310-0,rasheedunnisa begum
f1000-6-310-1,zafer tlu
f1000-6-311-0,john b. saunders
f1000-6-311-1,janna skagerstrm
f1000-6-311-2,janna skagerstrm
f1000-6-311-3,john b. saunders
f1000-6-311-4,peter nygaard
f1000-6-311-5,john b. saunders
f1000-6-317-0,ruth bastow
f1000-6-317-1,anne-franoise adam-blondon
f1000-6-319-0,tsung-jung wu
f1000-6-319-1,konstantinos krampis
f1000-6-319-2,yussanne ma
f1000-6-320-0,rudy agung nugroho 
f1000-6-320-1,bradley j. pusey
f1000-6-320-2,ambok bolong abol-munafi
f1000-6-33-0,jeremy n. harvey
f1000-6-33-1,adam e. cohen
f1000-6-33-2,jeremy n. harvey
f1000-6-33-3,adam e. cohen
f1000-6-33-4,kirill a. afonin
f1000-6-34-0,bijin thajudeen
f1000-6-34-1,amarpali brar
f1000-6-36-0,raphael d. isokpehi
f1000-6-36-1,gajinder singh 
f1000-6-36-2,gajinder singh 
f1000-6-36-3,raphael d. isokpehi
f1000-6-372-0,sakiko okumoto
f1000-6-372-1,asa ben-hur 
f1000-6-372-2,nicholas j. provart 
f1000-6-373-0,christian a. mller
f1000-6-373-1,baslie n. landis
f1000-6-373-2,christian a. mller
f1000-6-373-3,claudio augusto marroni
f1000-6-389-0,thomas schilling 
f1000-6-389-1,gran hedenstierna 
f1000-6-389-2,ian smith
f1000-6-389-3,ian smith
f1000-6-389-4,gran hedenstierna 
f1000-6-390-0,cecilia perret
f1000-6-390-1,cecilia perret
f1000-6-390-2,stalin vilcarromero 
f1000-6-390-3,jos antonio surez
f1000-6-398-0,jean-paul j. gonzalez
f1000-6-398-1,paola barato
f1000-6-398-2,jean-paul j. gonzalez
f1000-6-399-0,nur ashikin psyquay abdullah
f1000-6-399-1,emil luca
f1000-6-40-0,sanjay kalra
f1000-6-40-1,sanjay kalra
f1000-6-40-2,michael hanke 
f1000-6-404-0,michel j. roux 
f1000-6-404-1,cheryl mae craft
f1000-6-405-0,marie-claire shanahan
f1000-6-405-1,nathan l. vanderford 
f1000-6-405-2,marie-claire shanahan
f1000-6-405-3,nathan l. vanderford 
f1000-6-405-4,may khanna
f1000-6-406-0,jeanne marrazzo 
f1000-6-406-1,david h. martin
f1000-6-406-2,tasnuva wahed 
f1000-6-409-0,eugene roscioli
f1000-6-409-1,sukhwinder singh sohal 
f1000-6-409-2,kimberley c.w. wang
f1000-6-409-3,eugene roscioli
f1000-6-41-0,angela h. depace
f1000-6-41-1,thomas gregor
f1000-6-410-0,alan gill
f1000-6-410-1,rien vermeulen
f1000-6-412-0,padmamalini mahendradas
f1000-6-412-1,somasheila i. murthy
f1000-6-412-2,reema bansal 
f1000-6-412-3,jyotirmay biswas
f1000-6-413-0,domenico pratico
f1000-6-413-1,w.sue t griffin
f1000-6-42-0,stefan knapp
f1000-6-42-1,walter becker
f1000-6-423-0,ruth isserlin 
f1000-6-423-1,cedric simillion 
f1000-6-43-0,leonard k. kaczmarek
f1000-6-43-1,takafumi miyamoto
f1000-6-43-2,sanzhen liu
f1000-6-43-3,takafumi miyamoto
f1000-6-430-0,luis rafael moscote-salazar 
f1000-6-430-1,trevor k. rogers
f1000-6-430-2,matteo giaj levra
f1000-6-443-0,andrew carroll
f1000-6-443-1,justin m. zook 
f1000-6-443-2,melissa a. gymrek 
f1000-6-445-0,elsdon storey
f1000-6-445-1,ajoy mathew varghese 
f1000-6-445-2,elsdon storey
f1000-6-445-3,adam m. sheppard
f1000-6-448-0,sylvain poux 
f1000-6-448-1,elspeth a. bruford 
f1000-6-448-2,michael tress
f1000-6-453-0,anna panchenko
f1000-6-453-1,ramanathan sowdhamini
f1000-6-453-2,anna panchenko
f1000-6-454-0,ozayr h. mahomed
f1000-6-454-1,ozayr h. mahomed
f1000-6-454-2,duong minh duc 
f1000-6-454-3,duong minh duc 
f1000-6-455-0,brian mcdonagh 
f1000-6-455-1,tanea t. reed
f1000-6-455-2,sabah n.a. hussain
f1000-6-456-0,edward j. pearce
f1000-6-456-1,nathalie bendriss-vermare
f1000-6-456-2,edward j. pearce
f1000-6-456-3,nathalie bendriss-vermare
f1000-6-456-4,vassili soumelis
f1000-6-460-0,colin d. bingle 
f1000-6-460-1,yassine amrani
f1000-6-463-0,emma e. laing 
f1000-6-463-1,joshua w. k. ho 
f1000-6-465-0,matthew m. nelson 
f1000-6-465-1,cyril pommier 
f1000-6-465-2,christopher j. rawlings 
f1000-6-470-0,beata s. lipska-zitkiewicz 
f1000-6-470-1,larissa kerecuk 
f1000-6-470-2,aoife m. waters 
f1000-6-470-3,moin a. saleem 
f1000-6-506-0,slobodan m. todorovic
f1000-6-506-1,pascal darbon 
f1000-6-506-2,slobodan m. todorovic
f1000-6-517-0,pham minh khue 
f1000-6-517-1,irene n. mukui 
f1000-6-517-2,irene n. mukui 
f1000-6-517-3,nghia van khuu
f1000-6-517-4,nghia van khuu
f1000-6-517-5,nghia van khuu
f1000-6-518-0,bjrn brembs 
f1000-6-518-1,chris h. j. hartgerink 
f1000-6-518-2,chris h. j. hartgerink 
f1000-6-518-3,anthony dart 
f1000-6-518-4,bjrn brembs 
f1000-6-52-0,heinz stockinger 
f1000-6-52-1,gaurav kaushik
f1000-6-520-0,yury evgeny razvodovsky
f1000-6-520-1,andrey v. korotayev 
f1000-6-526-0,arthur georges 
f1000-6-526-1,matthew m. hindle
f1000-6-53-0,benjamin j. cowling
f1000-6-53-1,nicolas tremblay
f1000-6-541-0,balzs bod
f1000-6-541-1,jill emery 
f1000-6-541-2,gabriel gardner 
f1000-6-541-3,april hathcock
f1000-6-542-0,michael a. grandner
f1000-6-542-1,leon c. lack
f1000-6-542-2,leon c. lack
f1000-6-542-3,michael a. grandner
f1000-6-553-0,brian appavu
f1000-6-553-1,deepa s. rajan
f1000-6-56-0,jianbin wang
f1000-6-56-1,christian rdelsperger 
f1000-6-56-2,matthias bernt
f1000-6-565-0,rafid al-mahfoudh
f1000-6-565-1,rossana romani
f1000-6-565-2,uygur er
f1000-6-565-3,rossana romani
f1000-6-565-4,rafid al-mahfoudh
f1000-6-565-5,uygur er
f1000-6-566-0,declan chard 
f1000-6-566-1,hans lassmann
f1000-6-569-0,james vaupel
f1000-6-569-1,michael r. rose
f1000-6-569-2,jean-michel gaillard
f1000-6-577-0,mara l. parages
f1000-6-577-1,andrea pitzschke 
f1000-6-577-2,mara l. parages
f1000-6-577-3,immacolata castellano
f1000-6-577-4,andrea pitzschke 
f1000-6-58-0,stefan wuchty
f1000-6-58-1,tams korcsmros 
f1000-6-58-2,barry demchak 
f1000-6-586-0,harold pimentel 
f1000-6-586-1,ted abel 
f1000-6-586-2,harold pimentel 
f1000-6-588-0,bahar mehmani 
f1000-6-588-1,theodora bloom 
f1000-6-588-2,emily ford 
f1000-6-588-3,emily ford 
f1000-6-588-4,bahar mehmani 
f1000-6-588-5,theodora bloom 
f1000-6-588-6,richard walker 
f1000-6-589-0,abbas a. keshtkar 
f1000-6-589-1,mahfuzar rahman
f1000-6-589-2,puspa raj pant 
f1000-6-589-3,kazi selim anwar 
f1000-6-589-4,william d. ramos
f1000-6-594-0,dolores prez-sala
f1000-6-594-1,adelina rogowska-wrzesinska 
f1000-6-594-2,dolores prez-sala
f1000-6-594-3,joaquim ros
f1000-6-595-0,sam buckberry 
f1000-6-595-1,wolfgang huber 
f1000-6-595-2, samuel w. lukowski 
f1000-6-595-3,charlotte soneson 
f1000-6-596-0,philip ewels 
f1000-6-596-1,christopher j. fields 
f1000-6-596-2,chase a. miller
f1000-6-604-0,lenny teytelman
f1000-6-604-1,michael s. lauer
f1000-6-607-0,eilish mcauliffe
f1000-6-607-1,frrique vallires 
f1000-6-608-0,todd carpenter 
f1000-6-608-1,kathleen fitzpatrick 
f1000-6-612-0,julien gobeill
f1000-6-612-1,julien gobeill
f1000-6-612-2,fabio rinaldi 
f1000-6-612-3,jin-dong kim
f1000-6-614-0,stuart j frank
f1000-6-614-1,laura e. dichtel
f1000-6-616-0,joris lemson
f1000-6-616-1,michiel justinus blans
f1000-6-618-0,jean-marc aury 
f1000-6-618-1,mile 
f1000-6-618-2,christina a. cuomo
f1000-6-618-3,hayan lee 
f1000-6-618-4,christina a. cuomo
f1000-6-618-5,jean-marc aury 
f1000-6-618-6,mile 
f1000-6-620-0,david k wong 
f1000-6-620-1,david k wong 
f1000-6-620-2,patrick ingiliz
f1000-6-621-0,yog raj ahuja
f1000-6-621-1,syed muhammad shahid
f1000-6-622-0,israel pagn
f1000-6-622-1,pedro gomez 
f1000-6-631-0,winston timp 
f1000-6-631-1,winston timp 
f1000-6-631-2,keith e. robison
f1000-6-66-0,suveen angraal 
f1000-6-66-1,timothy nugent
f1000-6-66-2,suveen angraal 
f1000-6-66-3,jonathan c. craig 
f1000-6-66-4,daniel s. himmelstein 
f1000-6-66-5,daniel s. himmelstein 
f1000-6-66-6,daniel s. himmelstein 
f1000-6-66-7,mike j. clarke 
f1000-6-664-0,bud mishra
f1000-6-664-1,giuseppe narzisi 
f1000-6-664-2,bud mishra
f1000-6-664-3,giuseppe narzisi 
f1000-6-667-0,areege m. kamal
f1000-6-667-1,lois salamonsen
f1000-6-668-0,zuchra helwani
f1000-6-668-1,muhammad roil bilad 
f1000-6-668-2,zuchra helwani
f1000-6-668-3,muhammad roil bilad 
f1000-6-669-0,ruxandra bachmann-gagescu 
f1000-6-669-1,patricia d. wilson
f1000-6-67-0,john t. lind
f1000-6-67-1,randolf a. widder
f1000-6-676-0,aliodor manolea
f1000-6-676-1,edward justin modestino
f1000-6-677-0,jasmine kamboj
f1000-6-677-1,jiaqi shi 
f1000-6-678-0,gianluca testa 
f1000-6-678-1,raju karuppal 
f1000-6-678-2,martyn j parker
f1000-6-679-0,samuel marguerat 
f1000-6-679-1,samuel marguerat 
f1000-6-679-2,matthias sipiczki
f1000-6-679-3,matthias sipiczki
f1000-6-682-0,lanfranco s. conte
f1000-6-682-1,richard h. stadler
f1000-6-682-2,lanfranco s. conte
f1000-6-682-3,markus niederer 
f1000-6-684-0,antti honkela 
f1000-6-685-0,ferdinand kckerling
f1000-6-685-1,marc miserez
f1000-6-686-0,pier luigi buttigieg 
f1000-6-686-1,carole a. goble 
f1000-6-687-0,dan tchernov
f1000-6-687-1,dan tchernov
f1000-6-687-2,sylvain agostini
f1000-6-688-0,jeremy r. shearman
f1000-6-688-1,paulo arruda
f1000-6-69-0,sergio esposito 
f1000-6-69-1,gea guerriero
f1000-6-70-0,anders blomberg
f1000-6-70-1,takashi gojobori
f1000-6-70-2,marla i. trindade
f1000-6-71-0,adam jacobs
f1000-6-71-1,tamas ferenci
f1000-6-72-0,jayashree sachin gothankar
